S&P 500 Index,"2,365.72",05:10.7
S&P 500 Index,"2,365.72",41:33.5
S&P 500 Index,"2,386.63",55:27.1
Dow Jones Industrial Average,"20,835.07",55:27.1
Apple Inc,153.6,55:27.1S&P 500 Index,"2,386.42",2017-05-19 09:56:37.093128
Dow Jones Industrial Average,"20,838.30",2017-05-19 09:56:37.093163
Apple Inc,153.63,2017-05-19 09:56:37.093170
S&P 500 Index,"2,386.27",2017-05-19 09:58:07.844542
Dow Jones Industrial Average,"20,843.72",2017-05-19 09:58:07.844576
Apple Inc,153.55,2017-05-19 09:58:07.844582
S&P 500 Index,"2,386.27",2017-05-19 09:58:21.336094
Dow Jones Industrial Average,"20,843.72",2017-05-19 09:58:21.336128
Apple Inc,153.55,2017-05-19 09:58:21.336133
